Blender 4.5.9 LTS (hash 8bf95cbd38d1 built 2026-04-21 01:33:45)
Read blend: "D:\Users\Lenovo\Desktop\大观园\blender\daguanyuan_master.blend"
Fra:1 Mem:1105.49M (Peak 2418.40M) | Time:00:05.55 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | qiushuangzhai_floorwood
Fra:1 Mem:1106.64M (Peak 2418.40M) | Time:00:05.55 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | qiushuangzhai_wood.001
Fra:1 Mem:1107.05M (Peak 2418.40M) | Time:00:05.55 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | qiushuangzhai_screen
Fra:1 Mem:1107.72M (Peak 2418.40M) | Time:00:05.55 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | qiushuangzhai_tilelight.001
Fra:1 Mem:1110.87M (Peak 2418.40M) | Time:00:05.55 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | qiushuangzhai_tiledark.001
Fra:1 Mem:1112.94M (Peak 2418.40M) | Time:00:05.55 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | qiushuangzhai_paving.001
Fra:1 Mem:1113.00M (Peak 2418.40M) | Time:00:05.55 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | qiushuangzhai_marble.001
Fra:1 Mem:1113.23M (Peak 2418.40M) | Time:00:05.55 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | qiushuangzhai_paper.001
Fra:1 Mem:1113.21M (Peak 2418.40M) | Time:00:05.55 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | qiushuangzhai_bookcloth.001
Fra:1 Mem:1115.51M (Peak 2418.40M) | Time:00:05.55 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | qiushuangzhai_ivory.001
Fra:1 Mem:1121.15M (Peak 2418.40M) | Time:00:05.55 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | qiushuangzhai_ink.001
Fra:1 Mem:1121.73M (Peak 2418.40M) | Time:00:05.55 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | qiushuangzhai_bookcover.001
Fra:1 Mem:1122.15M (Peak 2418.40M) | Time:00:05.55 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | qiushuangzhai_ceramic.001
Fra:1 Mem:1121.77M (Peak 2418.40M) | Time:00:05.55 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | qiushuangzhai_bamboo.001
Fra:1 Mem:1121.87M (Peak 2418.40M) | Time:00:05.55 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | qiushuangzhai_leafdark.001
Fra:1 Mem:1121.87M (Peak 2418.40M) | Time:00:05.55 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | qiushuangzhai_creamflower.001
Fra:1 Mem:1122.21M (Peak 2418.40M) | Time:00:05.55 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | qiushuangzhai_silk.001
Fra:1 Mem:1124.50M (Peak 2418.40M) | Time:00:05.55 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | qiushuangzhai_moss.001
Fra:1 Mem:1124.69M (Peak 2418.40M) | Time:00:05.55 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | qiushuangzhai_leaf
Fra:1 Mem:1125.06M (Peak 2418.40M) | Time:00:05.55 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | qiushuangzhai_lantern
Fra:1 Mem:1130.94M (Peak 2418.40M) | Time:00:05.55 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | qiushuangzhai_gold
