
> daguanyuan-rumeng@1.0.0 models:views
> node scripts/pipeline.mjs model-views

Blender 4.5.9 LTS (hash 8bf95cbd38d1 built 2026-04-21 01:33:45)
Read blend: "D:\Users\Lenovo\Desktop\大观园\blender\daguanyuan_master.blend"
Fra:1 Mem:1727.64M (Peak 1902.00M) | Time:00:01.49 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | yihongyuan_focal_botanical_banana
Fra:1 Mem:1733.76M (Peak 1902.00M) | Time:00:01.49 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | yihongyuan_focal_bamboo
Fra:1 Mem:1733.90M (Peak 1902.00M) | Time:00:01.49 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | yihongyuan_focal_moss
Fra:1 Mem:1737.34M (Peak 1902.00M) | Time:00:01.50 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | yihongyuan_focal_leaf
Fra:1 Mem:1737.48M (Peak 1902.00M) | Time:00:01.50 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | yihongyuan_focal_botanical_litter
Fra:1 Mem:1743.24M (Peak 1902.00M) | Time:00:01.50 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | r15_yihongyuan_enclosure_wall
Fra:1 Mem:1743.63M (Peak 1902.00M) | Time:00:01.50 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | r15_yihongyuan_enclosure_paper
Fra:1 Mem:1743.58M (Peak 1902.00M) | Time:00:01.50 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | r15_yihongyuan_enclosure_lacquer
Fra:1 Mem:1743.75M (Peak 1902.00M) | Time:00:01.50 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | r15_yihongyuan_enclosure_ceiling
Fra:1 Mem:1744.04M (Peak 1902.00M) | Time:00:01.50 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | r15_yihongyuan_enclosure_blue
Fra:1 Mem:1744.02M (Peak 1902.00M) | Time:00:01.50 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | r15_yihongyuan_enclosure_gold
Fra:1 Mem:1744.10M (Peak 1902.00M) | Time:00:01.50 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_roof.001
Fra:1 Mem:1744.28M (Peak 1902.00M) | Time:00:01.50 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_stone.001
Fra:1 Mem:1744.58M (Peak 1902.00M) | Time:00:01.50 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_tile.001
Fra:1 Mem:1745.92M (Peak 1902.00M) | Time:00:01.50 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_cutstone
Fra:1 Mem:1745.92M (Peak 1902.00M) | Time:00:01.50 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_darkwood.001
Fra:1 Mem:1746.21M (Peak 1902.00M) | Time:00:01.50 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_floorwood
Fra:1 Mem:1746.91M (Peak 1902.00M) | Time:00:01.50 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_wood.001
Fra:1 Mem:1750.63M (Peak 1902.00M) | Time:00:01.50 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_latticewood.001
Fra:1 Mem:1750.70M (Peak 1902.00M) | Time:00:01.50 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_tilelight.001
Fra:1 Mem:1753.06M (Peak 1902.00M) | Time:00:01.50 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_tiledark.001
Fra:1 Mem:1765.53M (Peak 1902.00M) | Time:00:01.50 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_paving.001
Fra:1 Mem:1765.53M (Peak 1902.00M) | Time:00:01.50 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_gardenstone
Fra:1 Mem:1766.22M (Peak 1902.00M) | Time:00:01.50 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_limestone.001
Fra:1 Mem:1767.95M (Peak 1902.00M) | Time:00:01.50 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_courtbase
Fra:1 Mem:1767.72M (Peak 1902.00M) | Time:00:01.50 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_furniture
Fra:1 Mem:1764.68M (Peak 1902.00M) | Time:00:01.50 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_paper.001
Fra:1 Mem:1764.95M (Peak 1902.00M) | Time:00:01.50 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_bookcloth.001
Fra:1 Mem:1765.11M (Peak 1902.00M) | Time:00:01.50 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_ivory.001
Fra:1 Mem:1765.12M (Peak 1902.00M) | Time:00:01.51 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_ink.001
Fra:1 Mem:1765.16M (Peak 1902.00M) | Time:00:01.51 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_bookcover.001
Fra:1 Mem:1765.16M (Peak 1902.00M) | Time:00:01.51 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_ceramic.001
Fra:1 Mem:1765.95M (Peak 1902.00M) | Time:00:01.51 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_gold
Fra:1 Mem:1765.99M (Peak 1902.00M) | Time:00:01.51 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_clay.001
Fra:1 Mem:1766.00M (Peak 1902.00M) | Time:00:01.51 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_screen.001
Fra:1 Mem:1766.00M (Peak 1902.00M) | Time:00:01.51 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_focal_leaf
Fra:1 Mem:1766.01M (Peak 1902.00M) | Time:00:01.51 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_focal_bamboo
Fra:1 Mem:1766.29M (Peak 1902.00M) | Time:00:01.51 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_focal_leafdark
Fra:1 Mem:1766.29M (Peak 1902.00M) | Time:00:01.51 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_focal_creamflower
Fra:1 Mem:1767.50M (Peak 1902.00M) | Time:00:01.51 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_focal_bark
Fra:1 Mem:1767.92M (Peak 1902.00M) | Time:00:01.51 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_focal_moss
Fra:1 Mem:1769.52M (Peak 1902.00M) | Time:00:01.51 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_focal_botanical_stem.001
Fra:1 Mem:1770.19M (Peak 1902.00M) | Time:00:01.51 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_focal_botanical_bamboo
Fra:1 Mem:1773.42M (Peak 1902.00M) | Time:00:01.51 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_focal_botanical_litter
Fra:1 Mem:1774.20M (Peak 1902.00M) | Time:00:01.51 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | r15_hengwuyuan_enclosure_wall
Fra:1 Mem:1778.63M (Peak 1902.00M) | Time:00:01.51 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | r15_hengwuyuan_enclosure_paper
Fra:1 Mem:1777.89M (Peak 1902.00M) | Time:00:01.51 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | r15_hengwuyuan_enclosure_lacquer
Fra:1 Mem:1778.07M (Peak 1902.00M) | Time:00:01.51 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | r15_hengwuyuan_enclosure_ceiling
Fra:1 Mem:1778.14M (Peak 1902.00M) | Time:00:01.51 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | r15_hengwuyuan_enclosure_jade
Fra:1 Mem:1778.18M (Peak 1902.00M) | Time:00:01.51 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | r15_hengwuyuan_enclosure_gold
Fra:1 Mem:1778.31M (Peak 1902.00M) | Time:00:01.51 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | qiushuangzhai_plaster.001
Fra:1 Mem:1778.31M (Peak 1902.00M) | Time:00:01.51 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | qiushuangzhai_roof.001
Fra:1 Mem:1778.42M (Peak 1902.00M) | Time:00:01.51 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | qiushuangzhai_stone.001
Fra:1 Mem:1778.82M (Peak 1902.00M) | Time:00:01.51 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | qiushuangzhai_tile.001
Fra:1 Mem:1780.78M (Peak 1902.00M) | Time:00:01.51 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | qiushuangzhai_cutstone
Fra:1 Mem:1782.35M (Peak 1902.00M) | Time:00:01.51 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | qiushuangzhai_darkwood.001
Fra:1 Mem:1782.20M (Peak 1902.00M) | Time:00:01.51 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | qiushuangzhai_floorwood
Fra:1 Mem:1782.27M (Peak 1902.00M) | Time:00:01.51 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | qiushuangzhai_wood.001
Fra:1 Mem:1783.19M (Peak 1902.00M) | Time:00:01.51 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | qiushuangzhai_furniture
Fra:1 Mem:1784.06M (Peak 1902.00M) | Time:00:01.51 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | qiushuangzhai_latticewood.001
